Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
1,56,African American,Female,Non-Hispanic,Disabled,Not Applicable,"Unemployed(Short - Term, 6 months or less)",Single Person,40216,1237585,2021/08/04 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.37,3,19056,1
0,10,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1237585,2021/08/04 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.37,3,19056,2
1,70,African American,Female,Non-Hispanic,Disabled,Advanced/Post-Secondary Degree,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,4,16572,3
0,17,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,4,16572,4
1,60,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1218035,2021/07/27 08:48:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,208.21,1,22164,5
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,4,16572,6
1,60,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1458336,2021/12/16 12:27:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,671.92,5,9528,7
1,40,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40208,1449919,2021/12/10 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,654.69,15,0,8
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40208,1449919,2021/12/10 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,654.69,15,0,9
0,47,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Multigenerational Household,40211,1448159,2021/12/09 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,5,35950.32,10
0,13,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40211,1448159,2021/12/09 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,5,35950.32,11
1,72,African American,Male,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40211,1458814,2021/12/16 15:18:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,316.65,1,8400,12
1,42,White,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Two Parent Household,40208,1416716,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3,8676,13
0,14,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40208,1416716,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3,8676,14
