,ItemLocation,zipcode,Adult,Adult Population Percentage,Teen,Teen Population Percentage,Children,Children Population Percentage
0,BON AIR REGIONAL,40220,65.91783411892914,79.12548313811112,4.54157530559458,7.724308854335704,29.540590575476283,13.150208007553182
1,CRESCENT HILL,40206,60.847896440129446,83.68640943720817,4.552319309600863,8.287048414843943,34.599784250269686,8.026542147947898
2,FAIRDALE,40118,56.611392057705125,75.67403817025144,7.96189580148183,9.229526406139554,35.426712140813045,15.096435423609009
3,HIGHLANDS-SHELBY PARK,40204,61.031494035870594,88.07247824225996,5.657341457135502,6.0422314167498925,33.311164506993904,5.885290340990156
4,IROQUOIS,40215,60.66852974267775,71.24048549681136,6.549196094799115,15.192347253651512,32.78227416252314,13.567167249537132
5,JEFFERSONTOWN,40299,62.17727855630919,74.71718914773273,4.775736600590207,13.399961652765793,33.046984843100596,11.882849199501486
6,MAIN,40203,87.8583516526765,77.61117445838084,1.6889403642129055,11.476624857468643,10.452707983110596,10.912200684150514
7,MIDDLETOWN,40243,49.368806040585184,79.80745290065565,6.6363850873053325,11.702215951531247,43.99480887210949,8.490331147813096
8,NEWBURG,40218,46.07605177993527,72.25459569866635,8.572006472491909,14.510993632103808,45.351941747572816,13.234410669229845
9,NORTHEAST REGIONAL,40223,48.997190420969886,75.75653370013755,6.044097160068177,12.315165061898211,44.95871241896193,11.928301237964236
10,PORTLAND,40212,48.83433051371983,73.06728232189974,7.647341998487037,16.893139841688654,43.51832748779314,10.03957783641161
11,SHAWNEE,40211,42.269570707070706,70.1677297424994,22.234848484848484,17.58563666430428,35.49558080808081,12.246633593196314
12,SHIVELY,40216,50.43305291948117,74.41047436248972,8.466288177033691,13.728178411479755,41.10065890348514,11.861347226030528
13,SOUTH CENTRAL REGIONAL,40219,58.3093884689862,71.07167514767177,6.839121744018989,14.378500012785436,34.85148978699482,14.549824839542794
14,SOUTHWEST BRANCH,40272,64.51171609372875,74.05772044154808,6.5176521412171295,14.063040297911956,28.970631765054122,11.879239260539967
15,ST. MATTHEWS/ELINE,40207,64.03844083126951,80.07892990605245,5.307149779261334,9.723046834072575,30.65440938946915,10.198023259874969
16,WESTERN,40203,55.684104627766594,77.61117445838084,8.254069873788183,11.476624857468643,36.06182549844522,10.912200684150514
