,ItemLocation,zipcode,Adult,Children,Teen
0,BON AIR REGIONAL,40220,0.6591783411892914,0.29540590575476283,0.0454157530559458
3,CRESCENT HILL,40206,0.6084789644012945,0.3459978425026969,0.04552319309600863
6,FAIRDALE,40118,0.5661139205770512,0.35426712140813044,0.0796189580148183
9,HIGHLANDS-SHELBY PARK,40204,0.6103149403587059,0.33311164506993907,0.056573414571355014
12,IROQUOIS,40215,0.6066852974267775,0.3278227416252314,0.06549196094799115
15,JEFFERSONTOWN,40299,0.6217727855630919,0.33046984843100596,0.04775736600590207
18,MAIN,40203,0.878583516526765,0.10452707983110596,0.016889403642129056
21,MIDDLETOWN,40243,0.49368806040585184,0.43994808872109487,0.06636385087305333
24,NEWBURG,40218,0.46076051779935273,0.45351941747572816,0.0857200647249191
27,NORTHEAST REGIONAL,40223,0.4899719042096989,0.4495871241896193,0.06044097160068177
30,PORTLAND,40212,0.48834330513719826,0.43518327487793135,0.07647341998487037
33,SHAWNEE,40211,0.4226957070707071,0.35495580808080807,0.22234848484848485
36,SHIVELY,40216,0.5043305291948117,0.41100658903485143,0.08466288177033691
39,SOUTH CENTRAL REGIONAL,40219,0.583093884689862,0.34851489786994816,0.06839121744018989
42,SOUTHWEST BRANCH,40272,0.6451171609372875,0.2897063176505412,0.0651765214121713
45,ST. MATTHEWS/ELINE,40207,0.6403844083126952,0.3065440938946915,0.05307149779261333
48,WESTERN,40203,0.556841046277666,0.36061825498445216,0.08254069873788183
