,ItemLocation,zipcode,Adult,Children,Teen
0,Bon Air,40220,65.91783411892914,29.540590575476283,4.54157530559458
3,Crescent Hill,40206,60.847896440129446,34.599784250269686,4.552319309600863
6,Fairdale,40118,56.611392057705125,35.426712140813045,7.96189580148183
9,Highlands - Shelby Park,40204,61.031494035870594,33.311164506993904,5.657341457135502
12,Iroquois,40215,60.66852974267775,32.78227416252314,6.549196094799115
15,Jeffersontown,40299,62.17727855630919,33.046984843100596,4.775736600590207
18,Main,40203,87.8583516526765,10.452707983110596,1.6889403642129055
21,Middletown,40243,49.368806040585184,43.99480887210949,6.6363850873053325
24,Newburg,40218,46.07605177993527,45.351941747572816,8.572006472491909
27,Northeast,40223,48.997190420969886,44.95871241896193,6.044097160068177
30,Portland,40212,48.83433051371983,43.51832748779314,7.647341998487037
33,Shawnee,40211,42.269570707070706,35.49558080808081,22.234848484848484
36,Shively,40216,50.43305291948117,41.10065890348514,8.466288177033691
39,South Central,40219,58.3093884689862,34.85148978699482,6.839121744018989
42,Southwest,40272,64.51171609372875,28.970631765054122,6.5176521412171295
45,St Matthews,40207,64.03844083126951,30.65440938946915,5.307149779261334
48,Western,40203,55.684104627766594,36.06182549844522,8.254069873788183
