"Label (Grouping)","ZCTA5 40118!!Total!!Estimate","ZCTA5 40118!!Total!!Margin of Error","ZCTA5 40118!!Percent!!Estimate","ZCTA5 40118!!Percent!!Margin of Error","ZCTA5 40118!!Male!!Estimate","ZCTA5 40118!!Male!!Margin of Error","ZCTA5 40118!!Percent Male!!Estimate","ZCTA5 40118!!Percent Male!!Margin of Error","ZCTA5 40118!!Female!!Estimate","ZCTA5 40118!!Female!!Margin of Error","ZCTA5 40118!!Percent Female!!Estimate","ZCTA5 40118!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,179","±430","(X)","(X)","666","±355","(X)","(X)","513","±228","(X)","(X)"
"        Less than high school graduate","160","±69","13.6%","±6.7","120","±70","18.0%","±12.4","40","±42","7.8%","±8.1"
"        High school graduate (includes equivalency)","657","±250","55.7%","±18.0","297","±158","44.6%","±25.4","360","±156","70.2%","±12.0"
"        Some college or associate's degree","275","±311","23.3%","±21.5","230","±309","34.5%","±32.5","45","±40","8.8%","±9.3"
"        Bachelor's degree or higher","87","±94","7.4%","±7.5","19","±31","2.9%","±5.1","68","±89","13.3%","±14.0"
"    Population 25 years and over","6,576","±603","(X)","(X)","3,230","±349","(X)","(X)","3,346","±402","(X)","(X)"
"        Less than 9th grade","180","±109","2.7%","±1.6","132","±93","4.1%","±2.8","48","±46","1.4%","±1.4"
"        9th to 12th grade, no diploma","975","±298","14.8%","±4.5","618","±247","19.1%","±7.1","357","±134","10.7%","±4.2"
"        High school graduate (includes equivalency)","3,039","±373","46.2%","±5.2","1,566","±231","48.5%","±5.9","1,473","±258","44.0%","±8.5"
"        Some college, no degree","1,104","±313","16.8%","±4.2","386","±155","12.0%","±4.6","718","±281","21.5%","±7.4"
"        Associate's degree","541","±226","8.2%","±3.4","236","±130","7.3%","±4.0","305","±189","9.1%","±5.5"
"        Bachelor's degree","527","±310","8.0%","±4.4","206","±130","6.4%","±3.9","321","±267","9.6%","±7.5"
