"Label (Grouping)","ZCTA5 40177!!Total!!Estimate","ZCTA5 40177!!Total!!Margin of Error","ZCTA5 40177!!Women with births in the past 12 months!!Number!!Estimate","ZCTA5 40177!!Women with births in the past 12 months!!Number!!Margin of Error","ZCTA5 40177!!Women with births in the past 12 months!!Percent Distribution!!Estimate","ZCTA5 40177!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","ZCTA5 40177!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","ZCTA5 40177!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","ZCTA5 40177!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","ZCTA5 40177!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","241","±60","15","±17","(X)","(X)","62","±71","100.0%","±82.2"
"    15 to 19 years","22","±18","0","±13","0.0%","±82.3","0","±679","-","**"
"    20 to 34 years","112","±39","15","±17","100.0%","±82.2","134","±141","100.0%","±82.2"
"    35 to 50 years","107","±48","0","±13","0.0%","±82.3","0","±288","-","**"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","233","±59","15","±17","100.0%","±82.2","64","±73","100.0%","±82.2"
"            White","233","±59","15","±17","100.0%","±82.2","64","±73","100.0%","±82.2"
"            Black or African American","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"            American Indian and Alaska Native","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"            Asian","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"            Some other race","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"        Two or more races","8","±9","0","±13","0.0%","±82.3","0","±1,000","-","**"
"        Hispanic or Latino origin (of any race)","3","±6","0","±13","0.0%","±82.3","0","±1,000","-","**"
"        White alone, not Hispanic or Latino","230","±58","15","±17","100.0%","±82.2","65","±74","100.0%","±82.2"
"    NATIVITY","","","","","","","","","",""
"        Native","241","±60","15","±17","100.0%","±82.2","62","±71","100.0%","±82.2"
"        Foreign born","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","35","±29","0","±13","0.0%","±82.3","0","±538","-","**"
"        High school graduate (includes equivalency)","54","±28","14","±17","93.3%","±19.6","259","±278","100.0%","±85.1"
"        Some college or associate's degree","95","±44","0","±13","0.0%","±82.3","0","±314","-","**"
"        Bachelor's degree","46","±32","1","±2","6.7%","±19.6","22","±52","100.0%","±100.0"
"        Graduate or professional degree","11","±18","0","±13","0.0%","±82.3","0","±960","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","241","±60","15","±17","(X)","(X)","62","±71","100.0%","±82.2"
"        Below 100 percent of poverty level","84","±42","15","±17","100.0%","±82.2","179","±193","100.0%","±82.2"
"        100 to 199 percent of poverty level","63","±36","0","±13","0.0%","±82.3","0","±401","-","**"
"        200 percent or more above poverty level","94","±47","0","±13","0.0%","±82.3","0","±317","-","**"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","241","±60","15","±17","(X)","(X)","62","±71","100.0%","±82.2"
"        In labor force","203","±60","10","±15","66.7%","±52.2","49","±76","100.0%","±100.0"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","241","±60","15","±17","(X)","(X)","62","±71","100.0%","±82.2"
"        Received public assistance income","0","±13","0","±13","0.0%","±82.3","-","**","-","**"
"        Did not receive public assistance income","241","±60","15","±17","100.0%","±82.2","62","±71","100.0%","±82.2"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","2.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
