"Label (Grouping)","ZCTA5 40207!!Total!!Estimate","ZCTA5 40207!!Total!!Margin of Error","ZCTA5 40207!!Percent!!Estimate","ZCTA5 40207!!Percent!!Margin of Error","ZCTA5 40207!!Male!!Estimate","ZCTA5 40207!!Male!!Margin of Error","ZCTA5 40207!!Percent Male!!Estimate","ZCTA5 40207!!Percent Male!!Margin of Error","ZCTA5 40207!!Female!!Estimate","ZCTA5 40207!!Female!!Margin of Error","ZCTA5 40207!!Percent Female!!Estimate","ZCTA5 40207!!Percent Female!!Margin of Error"
"Total population","28,633","±993","(X)","(X)","13,687","±576","(X)","(X)","14,946","±725","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,466","±246","5.1%","±0.9","802","±221","5.9%","±1.5","664","±139","4.4%","±0.9"
"        5 to 9 years","1,454","±271","5.1%","±0.9","714","±169","5.2%","±1.1","740","±183","5.0%","±1.2"
"        10 to 14 years","1,499","±239","5.2%","±0.8","751","±148","5.5%","±1.0","748","±175","5.0%","±1.1"
"        15 to 19 years","1,285","±303","4.5%","±1.0","608","±166","4.4%","±1.2","677","±216","4.5%","±1.4"
"        20 to 24 years","1,188","±238","4.1%","±0.8","454","±150","3.3%","±1.1","734","±177","4.9%","±1.1"
"        25 to 29 years","2,120","±371","7.4%","±1.3","1,011","±208","7.4%","±1.4","1,109","±266","7.4%","±1.7"
"        30 to 34 years","2,297","±514","8.0%","±1.8","1,291","±274","9.4%","±2.0","1,006","±270","6.7%","±1.8"
"        35 to 39 years","1,982","±380","6.9%","±1.3","893","±211","6.5%","±1.5","1,089","±218","7.3%","±1.5"
"        40 to 44 years","1,861","±242","6.5%","±0.8","953","±139","7.0%","±1.0","908","±162","6.1%","±1.1"
"        45 to 49 years","1,838","±316","6.4%","±1.1","922","±200","6.7%","±1.4","916","±219","6.1%","±1.4"
"        50 to 54 years","1,457","±272","5.1%","±0.9","775","±180","5.7%","±1.3","682","±155","4.6%","±1.0"
"        55 to 59 years","2,108","±335","7.4%","±1.2","1,048","±246","7.7%","±1.8","1,060","±172","7.1%","±1.2"
"        60 to 64 years","1,754","±209","6.1%","±0.8","846","±138","6.2%","±1.1","908","±128","6.1%","±0.9"
"        65 to 69 years","1,696","±185","5.9%","±0.7","715","±105","5.2%","±0.8","981","±148","6.6%","±1.0"
"        70 to 74 years","1,697","±227","5.9%","±0.8","702","±139","5.1%","±1.0","995","±172","6.7%","±1.1"
"        75 to 79 years","1,168","±179","4.1%","±0.6","456","±90","3.3%","±0.7","712","±141","4.8%","±0.9"
"        80 to 84 years","752","±144","2.6%","±0.5","337","±95","2.5%","±0.7","415","±95","2.8%","±0.6"
"        85 years and over","1,011","±154","3.5%","±0.5","409","±95","3.0%","±0.7","602","±136","4.0%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,953","±376","10.3%","±1.1","1,465","±244","10.7%","±1.5","1,488","±249","10.0%","±1.5"
"        15 to 17 years","1,007","±267","3.5%","±0.9","462","±131","3.4%","±0.9","545","±205","3.6%","±1.3"
"        Under 18 years","5,426","±489","19.0%","±1.4","2,729","±359","19.9%","±2.1","2,697","±328","18.0%","±1.8"
"        18 to 24 years","1,466","±263","5.1%","±0.9","600","±162","4.4%","±1.2","866","±198","5.8%","±1.2"
"        15 to 44 years","10,733","±621","37.5%","±1.7","5,210","±349","38.1%","±2.3","5,523","±455","37.0%","±2.1"
"        16 years and over","23,818","±766","83.2%","±1.4","11,288","±429","82.5%","±2.1","12,530","±596","83.8%","±1.8"
"        18 years and over","23,207","±767","81.0%","±1.4","10,958","±400","80.1%","±2.1","12,249","±586","82.0%","±1.8"
"        21 years and over","22,826","±753","79.7%","±1.4","10,774","±390","78.7%","±2.1","12,052","±575","80.6%","±1.7"
"        60 years and over","8,078","±468","28.2%","±1.7","3,465","±260","25.3%","±2.0","4,613","±314","30.9%","±2.1"
"        62 years and over","7,325","±404","25.6%","±1.4","3,074","±237","22.5%","±1.8","4,251","±291","28.4%","±2.0"
"        65 years and over","6,324","±390","22.1%","±1.3","2,619","±212","19.1%","±1.6","3,705","±285","24.8%","±1.8"
"        75 years and over","2,931","±270","10.2%","±0.9","1,202","±148","8.8%","±1.1","1,729","±201","11.6%","±1.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","42.6","±1.3","(X)","(X)","42.0","±2.2","(X)","(X)","43.7","±1.8","(X)","(X)"
"        Sex ratio (males per 100 females)","91.6","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","69.6","±4.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","37.5","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.1","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
